time           	g-sem-5--wt--  	p-sem-5        	p-let-23-act   	p-sem-5-act    	g-let-60--wt-- 	p-let-60       	p-let-60-act   	p-mpk-1        	p-mpk-1-act    	p-lin-3        	p-let-23       	p-dpy-23       	g-let-23--wt-- 	x1             	x2             	x3             	g-mpk-1--wt--  	p-lst          	x4             	x5             	x6             	g-lst--wt--    	p-lin-12-act   	x7             	x8             	dsl--wt--      	p-dsl          	g-dpy-23--wt-- 	x9             	x10            	x11            	g-vav-1--wt--  	g-mir-61--miRNA	p-vav-1        	p-lin-12       	x17            	g-lin-12--wt-- 	g-lin-12--d--  	x12            	x13            	x14            	x16            	x15            	g-mir-61       	p-dsl-p6-7-p   	p-dsl-p5-6-p   	
0              	1              	50             	500            	0              	1              	50             	0              	109            	0              	500            	0              	30             	1              	1              	1              	1              	1              	100            	1              	1              	1              	1              	0              	1              	1              	1              	0              	1              	1              	1              	1              	1              	1              	50             	50             	1              	1              	1              	1              	1              	1              	1              	1              	1              	0              	0              	
1000,04139     	1              	588            	4              	4              	1              	533            	4              	686            	0              	500            	1              	2291           	1              	5              	85             	1              	1              	3              	0              	32             	1              	1              	1              	0              	1              	1              	0              	1              	0              	98             	1              	1              	3              	0              	7              	345            	1              	1              	0              	36             	1              	1              	1              	1              	4              	4              	
2000,12277     	1              	1586           	4              	4              	1              	1560           	4              	1695           	0              	500            	0              	4521           	1              	15             	60             	1              	1              	2              	0              	57             	1              	1              	3              	0              	1              	1              	0              	1              	0              	92             	1              	1              	3              	0              	5              	263            	1              	1              	0              	7              	1              	1              	1              	1              	4              	4              	
3000,18509     	1              	2620           	4              	4              	1              	2518           	4              	2722           	0              	500            	0              	6768           	1              	25             	36             	1              	1              	4              	0              	31             	1              	1              	0              	0              	1              	1              	0              	1              	0              	87             	1              	1              	0              	0              	4              	188            	1              	1              	0              	27             	1              	1              	1              	1              	4              	4              	
4000,20280     	1              	3653           	4              	4              	1              	3518           	4              	3728           	0              	500            	0              	8844           	1              	35             	0              	1              	1              	2              	0              	19             	1              	1              	0              	0              	1              	1              	0              	1              	0              	68             	1              	1              	4              	0              	4              	143            	1              	1              	0              	99             	1              	1              	1              	1              	4              	4              	
5000,24406     	1              	4590           	4              	4              	1              	4515           	4              	4715           	0              	500            	0              	11386          	1              	44             	82             	1              	1              	4              	0              	78             	1              	1              	0              	0              	1              	1              	0              	1              	0              	13             	1              	1              	1              	0              	5              	101            	1              	1              	0              	50             	1              	1              	1              	1              	4              	4              	
6000,38800     	1              	5623           	4              	4              	1              	5547           	4              	5670           	0              	500            	0              	13370          	1              	55             	16             	1              	1              	3              	0              	97             	1              	1              	0              	0              	1              	1              	0              	1              	0              	96             	1              	1              	1              	2              	4              	41             	1              	1              	0              	53             	1              	1              	1              	1              	4              	4              	
7000,52901     	1              	6688           	4              	4              	1              	6483           	4              	6696           	0              	500            	2              	15605          	1              	65             	64             	1              	1              	3              	0              	70             	1              	1              	0              	0              	1              	1              	0              	1              	0              	20             	1              	1              	1              	2              	4              	0              	1              	1              	0              	76             	1              	1              	1              	1              	4              	4              	
8000,59076     	1              	7691           	4              	4              	1              	7465           	4              	7720           	0              	500            	0              	17691          	1              	75             	45             	1              	1              	4              	0              	45             	1              	1              	2              	0              	1              	1              	0              	1              	0              	9              	1              	1              	3              	0              	5              	0              	1              	1              	0              	84             	1              	1              	1              	1              	4              	4              	
9000,70841     	1              	8738           	4              	4              	1              	8481           	4              	8712           	0              	500            	0              	20168          	1              	85             	88             	1              	1              	2              	0              	70             	1              	1              	2              	0              	1              	1              	0              	1              	0              	83             	1              	1              	0              	1              	5              	0              	1              	1              	0              	74             	1              	1              	1              	1              	4              	4              	
10000,7871     	1              	9753           	4              	4              	1              	9468           	4              	9658           	0              	500            	1              	22126          	1              	95             	56             	1              	1              	4              	0              	80             	1              	1              	2              	0              	1              	1              	0              	1              	0              	74             	1              	1              	2              	0              	6              	0              	1              	1              	0              	87             	1              	1              	1              	1              	4              	4              	
