time           	g-sem-5--wt--  	p-sem-5        	p-let-23-act   	p-sem-5-act    	g-let-60--wt-- 	p-let-60       	p-let-60-act   	p-mpk-1        	p-mpk-1-act    	p-lin-3        	p-let-23       	p-dpy-23       	g-let-23--wt-- 	x1             	x2             	x3             	g-mpk-1--wt--  	p-lst          	x4             	x5             	x6             	g-lst--wt--    	p-lin-12-act   	x7             	x8             	dsl--wt--      	p-dsl          	g-dpy-23--wt-- 	x9             	x10            	x11            	g-vav-1--wt--  	g-mir-61--miRNA	p-vav-1        	p-lin-12       	x17            	g-lin-12--wt-- 	g-lin-12--d--  	x12            	x13            	x14            	x16            	x15            	g-mir-61       	p-dsl-p6-7-p   	p-dsl-p5-6-p   	
0              	1              	50             	500            	0              	1              	50             	0              	109            	0              	500            	0              	30             	1              	1              	1              	1              	1              	100            	1              	1              	1              	1              	0              	1              	1              	1              	0              	1              	1              	1              	1              	1              	1              	50             	50             	1              	1              	1              	1              	1              	1              	1              	1              	1              	0              	0              	
1000,00202     	1              	531            	4              	4              	1              	588            	4              	646            	0              	500            	1              	2088           	1              	6              	3              	1              	1              	2              	0              	21             	1              	1              	1              	0              	1              	1              	0              	1              	0              	14             	1              	1              	1              	0              	5              	304            	1              	1              	0              	48             	1              	1              	1              	1              	4              	4              	
2000,05888     	1              	1489           	4              	4              	1              	1608           	4              	1658           	0              	500            	1              	4292           	1              	16             	52             	1              	1              	2              	0              	25             	1              	1              	2              	0              	1              	1              	0              	1              	0              	44             	1              	1              	0              	1              	5              	239            	1              	1              	0              	27             	1              	1              	1              	1              	4              	4              	
3000,16624     	1              	2469           	4              	4              	1              	2592           	4              	2683           	0              	500            	0              	6041           	1              	26             	28             	1              	1              	3              	0              	21             	1              	1              	2              	0              	1              	1              	0              	1              	0              	44             	1              	1              	3              	0              	6              	140            	1              	1              	0              	13             	1              	1              	1              	1              	4              	4              	
4000,19741     	1              	3506           	4              	4              	1              	3601           	4              	3667           	0              	500            	0              	8045           	1              	36             	20             	1              	1              	4              	0              	33             	1              	1              	4              	0              	1              	1              	0              	1              	0              	5              	1              	1              	0              	1              	4              	69             	1              	1              	0              	39             	1              	1              	1              	1              	4              	4              	
5000,26011     	1              	4477           	4              	4              	1              	4610           	4              	4675           	0              	500            	1              	10299          	1              	46             	24             	1              	1              	3              	0              	62             	1              	1              	1              	0              	1              	1              	0              	1              	0              	62             	1              	1              	1              	0              	10             	7              	1              	1              	0              	26             	1              	1              	1              	1              	4              	4              	
6000,32736     	1              	5474           	4              	4              	1              	5604           	4              	5674           	0              	500            	0              	12437          	1              	56             	33             	1              	1              	2              	0              	62             	1              	1              	1              	0              	1              	1              	0              	1              	0              	44             	1              	1              	1              	0              	6              	0              	1              	1              	0              	100            	1              	1              	1              	1              	4              	4              	
7000,44863     	1              	6434           	4              	4              	1              	6599           	4              	6685           	0              	500            	0              	14929          	1              	66             	2              	1              	1              	3              	0              	58             	1              	1              	5              	0              	1              	1              	0              	1              	0              	8              	1              	1              	2              	0              	7              	0              	1              	1              	0              	14             	1              	1              	1              	1              	4              	4              	
8000,49521     	1              	7449           	4              	4              	1              	7619           	4              	7642           	0              	500            	0              	16836          	1              	75             	74             	1              	1              	3              	0              	36             	1              	1              	3              	0              	1              	1              	0              	1              	0              	18             	1              	1              	3              	0              	5              	0              	1              	1              	0              	87             	1              	1              	1              	1              	4              	4              	
9000,57345     	1              	8418           	4              	4              	1              	8568           	4              	8711           	0              	500            	0              	19310          	1              	86             	16             	1              	1              	3              	0              	79             	1              	1              	1              	0              	1              	1              	0              	1              	0              	58             	1              	1              	0              	0              	8              	0              	1              	1              	0              	58             	1              	1              	1              	1              	4              	4              	
10000,6511     	1              	9428           	4              	4              	1              	9580           	4              	9704           	0              	500            	1              	21381          	1              	95             	88             	1              	1              	2              	0              	70             	1              	1              	2              	0              	1              	1              	0              	1              	0              	93             	1              	1              	2              	0              	5              	0              	1              	1              	0              	16             	1              	1              	1              	1              	4              	4              	
